BANGLADESH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,               Growth of Demandp (% annual change),,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,4.1094,4.74237,4.88195,3.51976,3.18281,3.8757,7.04767,7.43388,3.98029,2.29174,4.60402,6.49168,4.11427,5.1274,4.00559,5.82,3,6.27,9.41,4.86,3,8.02,7.48,1.984966992
,               Government final consumption,0.92185,4.47167,19.14725,13.21627,10.69388,7.74336,8.14657,3.05746,3.18669,6.10274,6.82592,6.73617,3.08237,5.79118,7.88503,8.75,8.37,7.2,5.28,13.4,1.95,6.88,6.24,8.535411099
,"               Gross capital formationl,m",7.2784,5.77046,8.16351,7.86316,9.16639,10.70885,9.88809,7.14677,9.8151,7.38813,8.56463,9.56096,10.56774,5.36466,9.85505,7.12,8.91,8.36,12.13,6.88,3.95,8.09,11.65,2.210955554
,               Exports of goods and services,14.39543,14.90823,-2.30224,6.88349,12.52585,15.59464,25.47639,12.97567,7.08053,0.02851,0.9415,29.33915,12.53226,2.45195,3.2007,-2.83,2.2,-1.84,6.11,11.46,-17.5,9.19,29.39255876,8.032605238
,               Imports of goods and services,10.23731,11.21628,-11.22391,7.40011,10.61043,19.06679,18.19044,15.986,-1.90116,-2.59966,0.68642,29.15301,10.51851,1.21816,1.16834,3.2,-7.09,5.16,23.93,0.51,-11.41,15.27,31.18309851,-9.773653798
,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross capital formationl,m",545.865,585.36,632.4,703.5,799.9,909.2,1261.02879,1439.29298,1647.29016,1847.71518,2093.2724,2511.29171,2982.3,3403.7,3840,4378.651,6277.233,7193.004,8398.768,9507.653,9926.087,10950.188,12728.26902,13899.69411
,Gross national saving,509.304,561.97,636.9,747.5,847.1,958.1,1342.5711,1533.33054,1747.01218,2016.66214,2348.19394,2644.77981,3150.46862,3659.9987,3927.005,4398.807,6665.847,7137.575,8078.679,9190.234,9960.883,10870.784,11656.92159,13448.00602
,     Gross domestic saving,423.942,456.26,496.1,560.1,650.4,742,1033.9671,1140.69054,1206.40418,1433.58114,1659.67994,1888.62981,2239.53962,2641.9587,2968.169,3358.785,5660.82,6290.913,6981.121,7934.736,8584.871,8946.13,10018.41359,11568.19002
,     Net factor income from abroad,87.13,88.41,125.4,165.8,175.5,189.3,272.075,352.755,483.895,559.012,646.035,725.135,893.02,964.291,895.494,984.021,972.538,802.498,1055.433,1208.947,1312.318,1858.118,1573.46,1792.385
,     Net current transfers from abroadq,-1.768,17.3,15.4,21.6,21.2,26.8,36.529,39.885,56.713,24.069,42.479,31.015,17.909,53.749,63.342,56.001,32.489,44.164,42.125,46.551,63.694,66.536,65.048,87.431
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,17.88139,17.99516,18.15886,18.63397,19.53329,20.01565,21.43661,20.74738,19.18941,20.33241,20.81002,20.62208,21.22376,22.0361,22.08826,22.16,27.27,27.07,26.45,26.88,27.08,25.34,25.22439312,25.75951413
,               Gross national saving,21.48186,22.16442,23.31259,24.86859,25.44073,25.845,27.83471,27.88889,27.78848,28.60222,29.44301,28.87854,29.85649,30.52738,29.22527,29.02,32.11,30.71,30.61,31.14,31.42,30.79,29.3498337,29.94540205
,"               Gross capital formationl,m",23.02396,23.08693,23.14788,23.40475,24.02319,24.52591,26.14415,26.1785,26.20227,26.20606,26.24666,27.42097,28.3,28.4,28.6,28.88669115,30.24,30.95,31.82,32.21,31.31,31.02,32.04727564,30.95120034
,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Market Pricesb (Tk),,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDPr,18507.41608,19518.86066,20759.87842,22532.23388,24627.21893,27058.39416,34501.9289,38772.90192,43719.2054,48358.83468,53960.67275,61198,69614,78009,86266,96004,129828.0834,143697.5121,161273.9334,178280.2028,189360.8939,208750.7984,231861.4084,262868.2812
,Per capita GNIr,19187.35363,20199.38414,21712.76596,23775.11244,25925.29586,28440.14599,36448.102,41260.59585,47084.26103,52192.93619,58331.68087,66044,75505,84283,92015,102236,135910.6277,148658.8598,167723.2643,185582.8123,197198.9038,219738.4277,241046.975,273359.8815
,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices ($ million),,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,45468.43535,45433.63995,47194.58264,51690.42016,55947.76125,57627.0093,69971.61495,79825.87976,91646.93631,102126.4979,114507.8039,123506.2988,128899.3092,153504.9325,173061.5697,194465.9811,265226.9977,293772.8516,321464.0443,351250.6551,373959.2527,416264.3874,460218.7216,451534.1733
,GNI,47138.88445,47017.68009,49360.83472,54541.66498,58896.71371,60569.76432,73918.55008,84947.55874,98700.97666,110223.5367,123783.3469,133285.281,139808.0681,165851.2969,184595.2863,207090.2278,277653.084,303915.7499,334319.3642,365638.3789,389438.1423,438174.5254,478451.0344,469555.8078
,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices ($),,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDP,354.9448505,349.7585831,358.6214487,387.484409,413.8148021,420.6351044,500.5122672,562.9469661,637.3222271,700.4560898,774.748335,825.3003274,850.3755121,998.7934559,1111.08237,1231.658857,1658.809187,1816.215433,1964.338813,2121.71942,2233.526,2461.500724,2686.671229,2643.023726
,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES period averages ,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture; 2014–2016 = 100,59.79,58.8,60.42,62.07,60.91,68.29,70.43,74.13,80.07,80.07,84.78,89.13,90.45,94.36,97.98,100.76,101.26,110.83,110.78,112.26,116.05,121.49,124.83,…
,Mining; 1988/1989 | 2005/2006 | 2015/2016 = 100,213,239,251,269,290,307,336,360,384,418,134.37,135.24,142.36,153.15,157.18,172.97,185.57,185.55,186.12,182.7,168.6,169.39,84.49,…
,Manufacturing; 1988/1989 | 2005/2006 | 2015/2016 = 100,214,228,239,254,272,295,327,360,386,416,135.01,157.89,174.92,195.19,213.22,236.11,100,111,126.66,145.54,146.91,163.98,184.55,200.86
,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY annual values,,,,,,,,,,,,,,,,,,,,,,,,
,Crude petroleum (t ’000),,,,,,,,,,,,,,,,,,,,,,,,
,     Production,72,80,93,80,89,…,…,1108,253.5,278.8,336,371.2,378.7,410.4,412.8,482.6,665.29355,690.79438,687.3,658.723027,609.132841,537.147746,407.439836,434.523926
,     Exports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Imports,1268,812,1241,1621,2947,1099,1366,2093,1040.1,860.9,1136.6,1409.3,1083,1292,1177,1303,…,…,…,…,…,…,…,…
,     Consumption,3525,…,…,…,…,3768,3782,3574,3626,…,3737,4868,5213.646,5086.496,5484.961,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal (t ’000),,,,,,,,,,,,,,,,,,,,,,,,
,     Production,–,–,–,–,–,…,…,…,677.1,857.6,730.9,666.6,861.1,854.8,942.8,956.8,1030.693,1132.324,923.3,805.7,811.1,753.97283,487.862611,767.30746
,     Exports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Imports,53,142,604,199,213,…,…,…,…,…,2.2,0.1,…,82.2,…,…,…,…,…,…,…,…,…,…
,     Consumption,53,142,604,199,213,…,…,…,501.7,790.6,820.4,643.9,859.2,946.9,862.7,836.3,916.41849,927.11067,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural gas (m³ million),,,,,,,,,,,,,,,,,,,,,,,,
,     Productions,9412,10573,11094,11926,12827,13783,14921,15920,17015,18511,19919,20075,21056,22669,23231.92,25263.4,27559,27445,27429,27233,24992.9,25173.639,23783.104,22645.614
,     Exports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Imports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Consumption,8780,9876,10326,11350,12111,12918,14021,15185,16551,18342,20111,20306,20569,22601,23450.36,24843.3,27380.598,27037,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricityt (kWh million),,,,,,,,,,,,,,,,,,,,,,,,
,     Production,14739,16254,17445,18458,20062,21162,22742,22783,24305,25504,27470,29348,33365,36482,38031.07,40357.86,48370,52620,57895,63747,64745,72320,77895,78024
,     Exports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Imports,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,3822,4656,4783,6786,6674,8103,7712,10425
,     Consumption,12461,14003,15238,16132,18024,19196,20962,21181,22622,23937,25744,28627,32443,35465,39256.06,42616,45354.848,49979.0376,55238.1214,62097.2532,63398.6463,71488.0047,76695.3113,79290
,,,,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES period averages ,,,,,,,,,,,,,,,,,,,,,,,,
,     Consumer (national); 1995/1996 | 2005/2006 | 2021/2022 = 100,124.3,126.7,130.3,136,143.9,153.2,100,109.39,122.84,132.17,141.18,156.59,170.19,181.73,195.08,207.58,219.86,231.82,245.22,258.65,273.26,288.44,306.18,109.02
,          Food and nonalcoholic beveragesu,…,…,…,…,…,…,…,…,…,…,…,170.48,183.65,193.24,209.79,223.8,234.77,248.9,266.64,281.33,296.86,313.86,332.86,108.71
,"          Alcoholic beverages, tobacco, and narcotics",…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,
,          Clothing and footwear,…,…,…,…,…,…,…,…,…,…,…,140.09,160.79,179.66,194.77,208.5,233.38,243.56,255.24,277.64,290,298.14,320.14,106.71
,"          Housing, water, electricity, gas, and other fuelsv",…,…,…,…,…,…,…,…,…,…,…,132.33,143.36,155.61,163.47,171.8,182.74,194.01,200.25,206.98,220.7,228.29,232.43,108.25
,"          Furnishings, household equipment, and routine household maintenancew",…,…,…,…,…,…,…,…,…,…,…,158.13,175.58,195.33,206.14,214.45,227.39,235.85,249.68,265.25,282.67,298.15,320.3,109.68
,          Healthx,…,…,…,…,…,…,…,…,…,…,…,144.55,152.63,159.66,164.06,180.77,199.94,206.7,209.28,215.31,230.07,247.86,253.62,114.09
,          Transporty,…,…,…,…,…,…,…,…,…,…,…,127.44,148.58,159.34,167.2,181.78,201.34,210.78,218.8,235.23,248.48,271.45,313,109.67
,          Communication,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,
,          Recreation and culturez,…,…,…,…,…,…,…,…,…,…,…,139.52,144.48,157.23,164.38,168.02,171.01,177.56,183.65,186.72,190.13,193.61,202.6,108.58
,          Education,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,
,          Restaurants and hotels,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,
,          Miscellaneous goods and services,…,…,…,…,…,…,…,…,…,…,…,148.68,164.57,182.54,193.75,204.21,211.61,217.51,223.8,239.87,259.27,288.53,312.28,112.05
,     Wholesale (national)aa; 1969/1970 = 100,1753,1726,1730,1822,1889,1954,2128,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Implicit GDP deflator; 1995/1996 | 2005/2006 | 2015/2016 = 100,115.68264,117.52028,121.28207,126.77886,132.14272,138.84935,100,106.47127,114.84095,122.6092,131.3692,141.69409,153.2628,164.25934,173.57413,183.76,100,105.0475995,111.1461656,115.2120757,119.6374257,124.5678905,130.8573511,139.882747
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Price Indexes (% annual change),,,,,,,,,,,,,,,,,,,,,,,,
,               Consumer price index (national),2.81224,1.93081,2.84136,4.37452,5.80882,6.46282,7.18016,9.39,12.29545662,7.595245848,6.816978134,10.91514379,8.68510122,6.780656913,7.34606284,6.40762764,5.915791502,5.439825343,5.78,5.48,5.65,5.56,6.15,9
,               Food and nonalcoholic beverages price index (national)u,…,…,…,…,…,…,…,…,…,…,…,…,7.725246363,5.221889464,8.564479404,6.678106678,4.901697945,6.018656557,7.127360386,5.51,5.52,5.73,6.05,8.7
,               Wholesale price indexaa,-0.39773,-1.54022,0.23175,5.31792,3.67728,3.44097,8.90481,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,               Implicit GDP deflator,1.85022,1.58852,3.20098,4.53223,4.23087,5.0753,5.17822,6.47127,7.86098,6.76436,7.14465,7.85944,8.16457,7.17496,5.66827,5.868311136,6.731606443,5.047599469,5.805526375,3.65816502,3.841047008,4.121172572,5.049022362,6.897125642
,,,,,,,,,,,,,,,,,,,,,,,,,
,MONEY AND INTEREST RATES as of end of period (Tk million),,,,,,,,,,,,,,,,,,,,,,,,
,Net foreign assets,…,…,78198,117411,136022,154524,182675,284993,328970,423429,614468,641193,721663,1065480,1476833,1711557,2020490,2340332,2198393,2204910,2502874,3346737,3044475,2714444
,Domestic claims,…,…,1274449,1410334,1620493,1880733,2223460,2536436,3010846,3453858,4101616,5117716,5978272,6547429,7550462,8555687,10117232,11635749,13557804,15397798,17136276,18979483,21709623,24128408
,     Net claims on central government,…,…,436030,469823,538877,596695,685069,759031,902321,1037957,1096648,1328275,1499469,1678806,1863569,2079055,2436272,2784855,3173751,3865828,4656407,5486177,6317298,7306161
,     Claims on other financial corporations,…,…,25639,30914,38951,36907,29931,38615,34816,44223,48451,68585,87627,84952,108165,123976,163156,218123,221888,305845,325502,317615,323123,341671
,     Claims on state and local government,…,…,1091,821,727,509,360,220,185,153,122,93,57,23,–,–,–,–,–,–,–,–,–,–
,     Claims on public nonfinancial corporations,…,…,54847,54878,69206,87143,127711,140597,85510,89003,110919,148562,128142,60345,79036,116317,93657,92948,107481,129622,193585,193638,264475,348585
,     Claims on private sector,…,…,756842,853898,972732,1159479,1380389,1597973,1988014,2282522,2845476,3572201,4262977,4723303,5499692,6236339,7424147,8539823,10054684,11096503,11960782,12982053,14804727,16131991
,Broad money liabilitiesab,…,…,1238389,1432298,1628128,1875586,2208868,2558216,2960446,3485772,4288190,5098450,5891446,6794442,7945149,9106464,10767126,12333580,13735931,15345241,17046673,19292439,20993526,22761575
,     Currency outside depository corporations,…,…,122313,135827,154645,181543,224635,262174,322286,355690,456370,541806,577160,668073,761327,871428,1204945,1359873,1393830,1527544,1905705,2079492,2347830,2901169
,     Transferable deposits,…,…,115833,127993,145594,167772,196750,233620,264358,301487,415253,479685,509361,555426,666914,732047,907651,1026326,1135894,1182821,1355862,1651715,1897350,1999861
,     Other deposits,…,…,752189,881869,1006761,1185541,1421974,1660702,1953308,2378628,2860435,3503070,4229050,4989539,5820445,6524824,7351656,8130936,8942922,9884459,10902870,12268208,13242297,14367391
,     Securities other than shares,…,…,248054,286609,321128,340730,365509,401720,420494,449967,556132,573889,575875,581404,696463,978165,1302874,1816445,2263285,2750417,2882236,3293024,3506049,3493154
,Liabilities excluded from broad money,…,…,-114258,-95447,-128387,-159671,-197267,-263213,-379370,-391515,-427894,-660459,-808489,-818467,-1082146,-1160780,-1370596,-1642501,-2020266,-2257467,-2592477,-3033781,-3760572,-4081277
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)ac (% annual change),18.6202,16.60166073,13.12521365,15.59432546,13.79496379,16.74375578,19.30276017,17.06317688,17.63329165,19.17466187,22.43857179,21.34497568,17.38615727,16.70746718,16.09233323,12.41616931,16.35,10.88,9.24,9.88,12.64,13.62,9.5,10.53
,               M2ac (% of GDP at current market prices),31.53393,34.38201,36.09663,37.92485,38.95846,40.85134,37.45765155,38.46864252,39.57405034,42.0525393,45.51892973,48.10069059,49.005642,50.33728675,52.14235681,51.96021618,44.15,43.72,42.06,41.32,43.33,44.27,43.1,42.61
,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest rates as of end of period (% per annum),,,,,,,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,,,,,,
,     Savingsad,5.8,5.2,4.6,4.1,4.2,4.2,5.2,5.2,5.2,5.1,4.9,5,5.3,5.2,4.9,4.5,3.6,3.2,3.3,3.3,2.8,2.2,2.3,2.46757645
,     Time: 6 months,8.7,8.7,8.4,8.3,7.5,8.1,9.8,10.3,10.3,10.2,8.4,11.2,11.8,12,10.3,8.8,6.4,6.1,7.5,8.4,6,5.3,6.2,7.075940897
,               12 months,9,8.9,8.5,8.8,8.2,8.3,10.3,10.7,10.9,10.9,9,10.3,11.7,12.1,11.3,9,7.3,6.4,7.4,8.2,6.5,5.7,6.2,7.27986243
,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE fiscal year ending 30 June (Tk billion),,,,,,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,,,,,
,     Revenue,281.13,315.18,355.66,365.52,419.24,460.08,521.96,653.08,728.13,836.36,1016.66,1249.94,1423.24,1538.18,1538.4,1815.33,2015.19,2354.9,2110.53,2633.37,2766.61,3396.52,…,…
,          Taxes,190.38,209.35,241.46,269.54,303.99,338.84,379.14,479.72,527.36,623.03,793.45,949.85,1071.95,1156.74,1285.26,1518.56,1734.77,2035.84,1881.57,2254.49,2219.82,2697.92,…,…
,"               Taxes on income, profits, and capital gains",30.86,35.24,38.56,43.79,51.08,64.02,86.22,116.69,134.34,162.35,219.58,281.59,344.03,378.29,407.24,450.79,520.34,599.31,527.62,669.4,754.2,873.41,…,…
,                    Payable by individuals,13.2,16.71,22.65,25,28.67,31.86,51.76,73.86,63.97,86.6,93.86,94.89,103.88,108.43,130.23,147.59,191.91,209.57,196.23,238.5,224.36,287.99,…,…
,                    Payable by corporations and other enterprises,17.66,18.53,15.91,18.8,22.42,32.15,34.46,42.83,70.37,75.74,125.72,186.71,240.16,269.86,277.01,303.21,328.42,389.74,331.39,430.9,529.84,585.42,…,…
,"                    Other taxes on income, profits, and capital gains",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,…
,               Taxes on payroll and workforce,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,…
,               Taxes on property,2.36,1.57,1.6,1.6,1.69,1.74,1.9,2.08,2.25,2.47,2.62,2.95,3.06,3.79,4.14,5.6,8.53,13.84,5.78,6.69,6.67,9.17,…,…
,               Taxes on goods and services,102.75,113.91,130.5,147.01,166.48,188.99,203.79,259.12,289.84,352.53,442.13,520.55,571.06,614.24,694.26,849.89,972.29,1149.29,1086.53,1284.99,1184.61,1465.26,…,…
,               Taxes on international trade and transaction,47.83,51.62,64.73,69.74,75.9,75.26,76.24,87.9,84.87,89.32,107.92,120.78,126.61,131.61,149.23,178.48,194.6,230.6,218.08,243.97,237.98,315.92,…,…
,               Other taxes,6.58,7.02,6.06,7.4,8.83,8.83,10.98,13.93,16.06,16.36,21.2,23.97,27.19,28.81,30.39,33.8,39.02,42.81,43.55,49.45,36.35,34.16,…,…
,          Social contributions,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,…
,          Grants,18.63,19.74,32.89,15.44,17.21,14.16,10.86,24.95,21.31,32.27,24.5,35.92,68.79,58.71,24.84,21.69,13.04,14.25,2.96,17.07,25.2,23.48,…,…
,          Other revenue,72.12,86.09,81.31,80.54,98.04,107.08,131.97,148.41,179.46,181.06,198.71,264.17,282.51,322.73,228.3,275.07,267.37,304.81,226,361.82,521.59,675.12,…,…
,     Expense,236.69,249.44,289.99,292.33,342.17,388.74,461.77,558.85,669.71,722.96,845.05,982.72,1087.22,1246.66,1320.19,1586.83,1774.38,1950.8,1860.13,2441.52,2583.3,2942.88,…,…
,          Compensation of employees,67.84,70.67,74.67,79.92,86.98,102.95,126.78,132.19,142.87,165.7,206.9,217.35,225.5,274.39,300.67,418.28,514.68,489.99,518.62,561.97,579.55,597,…,…
,          Use of goods and services,40.85,44.5,62.35,55.56,60.13,65.65,69.28,82.72,94.22,106.62,124.57,158.5,162.98,190.99,200.14,225.05,245.71,285.25,244.31,414.99,398.39,435.29,…,…
,          Consumption of fixed capital,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,…
,          Interest,41.9,49.63,56.83,57.84,68.54,85.23,105.11,137.42,153.6,148.71,156.39,203.51,241.64,280.01,309.74,331.17,353.38,430.87,385.18,500.9,583.13,706.17,…,…
,          Subsidies,5.22,6.77,13.5,11.91,19.7,17.24,31.57,59.44,73.88,75.06,92.69,115.08,155.88,137.7,125.8,119,58.6,109.8,172.67,264.07,292.33,278.51,…,…
,          Grants,41.17,42.04,40.11,48.89,62.02,62.9,64.75,76,98.82,124.71,145.57,164.82,167.24,186.23,203.4,263.16,311.27,289.64,287,313.27,306.68,364.59,…,…
,          Social benefits,23.38,22.15,25.15,27.02,31.41,40.33,44.81,56.76,78.98,75.13,85.24,99.24,102,104.84,121.04,173.24,222.23,275.79,207.25,306.12,331.05,362.94,…,…
,          Other expense,16.34,13.69,17.37,11.18,13.39,14.43,19.46,14.31,27.35,27.04,33.69,24.21,31.99,72.5,59.4,56.93,68.51,69.45,45.09,80.2,92.16,198.38,…,…
,     Net operating balanceae,44.44,65.74,65.67,73.19,77.07,71.34,60.19,94.23,58.42,113.4,171.61,267.22,336.02,291.52,218.21,228.5,240.81,404.1,250.4,191.86,183.3,453.65,…,…
,     Gross operating balanceaf,44.44,65.74,65.67,73.19,77.07,71.34,60.19,94.23,58.42,113.4,171.61,267.22,336.02,291.52,218.21,228.5,240.81,404.1,250.4,191.86,183.3,453.65,…,…
,     Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,,,,,
,     Net/gross investment in nonfinancial assets,135.67,128.35,127.99,142.88,188.94,183.6,168.47,186.94,223.57,242.53,305.84,351.21,390.67,443.61,520.66,598.61,780.71,1067.61,720.22,1351.42,1417.37,1457.55,…,…
,          Fixed assets,121.74,110.72,114.28,126.08,166.56,161.71,143.38,140.21,154.18,205.09,219.3,268.75,326.45,362.36,447.5,503.73,682,920.32,606.83,1183.83,1261.5,1288.4,…,…
,          Inventories,13.15,16.87,13.2,15.91,21.25,20.36,23.88,43.8,57.78,30.95,79.46,74.29,54.1,63.12,60.22,48.53,54.3,103.68,79.36,101.83,87.39,107.41,…,…
,          Valuables,–,0.01,–,–,–,0.01,–,–,–,–,0.03,0.02,0.02,0.12,0.01,0.08,0.05,0.01,–,–,0.01,0.02,…,…
,          Nonproduced assets,0.77,0.75,0.51,0.89,1.13,1.52,1.21,2.92,11.6,6.49,7.05,8.16,10.11,18.01,12.93,46.27,44.37,43.6,34.04,65.76,68.48,61.73,…,…
,     Expenditure,372.36,377.79,417.98,435.21,531.11,572.34,630.24,745.78,893.28,965.48,1150.89,1333.93,1477.89,1690.27,1840.85,2185.44,2555.09,3018.41,2580.35,3792.93,4000.68,4400.43,…,…
,     Net lending/Net borrowing,-91.23,-62.61,-62.31,-69.69,-111.87,-112.26,-108.28,-92.71,-165.15,-129.13,-134.22,-83.98,-54.65,-152.09,-302.45,-370.12,-539.9,-663.52,-469.82,-1159.56,-1234.07,-1003.91,…,…
,     Primary balance,-49.33,-12.98,-5.48,-11.85,-43.33,-27.03,-3.17,44.71,-11.55,19.58,22.17,119.52,186.99,127.93,7.28,-38.95,-186.53,-232.65,-84.64,-658.65,-650.94,-297.74,…,…
,     Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,,,,,
,     Net acquisition of financial assets,4600.95,7264.8,13601.65,17788.2,21805.4,23964.64,38093.45,42984.74,46330.68,44105.57,53470.39,4928.3,6197.19,6753.41,6547.12,7608.08,8008.46,9600.5,8855.02,11710.93,16833.11,13815.87,…,…
,          Domestic,4600.95,7264.8,13601.65,17788.19,21805.39,23964.64,38093.44,42984.72,46330.68,44105.57,53470.39,4928.3,6197.19,6753.41,6547.12,7608.08,8008.46,9600.5,8855.02,11710.93,16833.11,13815.87,…,…
,          External,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,…
,     Net incurrence of liabilities,2967.16,3407.96,3544.57,3623.71,5040.76,5262.79,4659.32,5137.7,5464.77,5986.1,6378.74,5218.56,6280.15,6691.5,6705.02,7982.41,8416.82,10355.52,13861.51,18448.09,23238.47,20789.81,…,…
,          Domestic,2888.2,3323.99,3456.7,3540.95,4943.2,5146.78,4553.19,4980.22,5345.43,5821.07,6243.89,5064.54,6072.26,6483.5,6476.34,7608.92,8136.89,10081.62,13660.02,17919.02,22592.8,20092.37,…,…
,          External,78.96,83.98,87.87,82.76,97.57,116.01,106.13,157.48,119.33,165.03,134.86,154.02,207.89,208,228.68,373.49,279.93,273.9,201.49,529.07,645.67,697.44,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,                    Government Finance (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,
,                    Revenue,9.65,10.03,11.84,11.1,11.33,11.03,11.22,12.32,11.88,12.18,13.03,13.89,13.67,12.94,11.48,10.57,10.2,10.46,8.32,10.38,9.59,10.71,…,…
,                    Taxes,6.54,6.66,8.04,8.18,8.21,8.12,8.15,9.05,8.6,9.07,10.17,10.56,10.29,9.73,9.6,8.85,8.78,9.05,7.41,8.88,7.69,8.51,…,…
,                    Taxes payable by individuals,0.45,0.53,0.75,0.76,0.77,0.76,1.11,1.39,1.04,1.26,1.2,1.05,1,0.91,0.97,0.86,0.97,0.93,0.77,0.94,0.78,0.91,…,…
,                    Taxes payable by corporations and other enterprises,0.61,0.59,0.53,0.57,0.61,0.77,0.74,0.81,1.15,1.1,1.61,2.08,2.31,2.27,2.07,1.77,1.66,1.73,1.31,1.7,1.84,1.85,…,…
,                    Expenditure,12.78,12.02,13.91,13.21,14.35,13.72,13.54,14.06,14.57,14.06,14.75,14.83,14.19,14.22,13.74,12.73,12.93,13.41,10.17,14.95,13.86,13.87,…,…
,                    Net lending/Net borrowing,-3.13,-1.99,-2.07,-2.12,-3.02,-2.69,-2.33,-1.75,-2.69,-1.88,-1.72,-0.93,-0.52,-1.28,-2.26,-2.16,-2.73,-2.95,-1.85,-4.57,-4.28,-3.17,…,…
,                    Primary balance,-1.69,-0.41,-0.18,-0.36,-1.17,-0.65,-0.07,0.84,-0.19,0.29,0.28,1.33,1.8,1.08,0.05,-0.23,-0.94,-1.03,-0.33,-2.6,-2.26,-0.94,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,,,,,,
,     Total expenditure,245.496,309.206,317.962,362.859,367.072,421.113,447.286,501.559,629.1,893.16,1015.17804,1282.83497,1524.52,1756.42,1890.95,2088.68,2400.47,2693.82,3593.33,4196.11,4494.5,4817.24,…,…
,          General public services,35.216,45.098,45.346,42.791,50.2,50.47,51.568,43.441,52,68.82,82.5,80.81,110.73,79.48,144.25,123.36,151.27,292.52,816.04,938.04,1188.42,1395.06,…,…
,          Defense,31.119,33.929,37.282,39.258,37.807,40.8,42.471,65.501,70.1,71.56,87.59,111.25,122.3,134.05,152.46,175.87,204.38,233.38,269.9,325.47,347.75,355.72,…,…
